quote,author,tags,last_updated_at_UTC
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,attributed-no-source,10-Nov-2021 15:27:27
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"hope,inspirational",10-Nov-2021 15:27:27
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,dumbledore,10-Nov-2021 15:27:27
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,love,10-Nov-2021 15:27:27
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"friendship,love",10-Nov-2021 15:27:30
“Do one thing every day that scares you.”,Eleanor Roosevelt,"attributed,fear,inspiration",10-Nov-2021 15:27:30
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,attributed-no-source,10-Nov-2021 15:27:30
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,music,10-Nov-2021 15:27:30
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"books,thought",10-Nov-2021 15:27:30
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,misattributed-to-einstein,10-Nov-2021 15:27:30
"“He's like a drug for you, Bella.”",Stephenie Meyer,"drug,romance,simile",10-Nov-2021 15:27:30
“There is no friend as loyal as a book.”,Ernest Hemingway,"books,friends,novelist-quotes",10-Nov-2021 15:27:30
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,inspirational,10-Nov-2021 15:27:30
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"inspirational,life,yourself",10-Nov-2021 15:27:30
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,alcohol,10-Nov-2021 15:27:32
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,the-hunger-games,10-Nov-2021 15:27:32
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,humor,10-Nov-2021 15:27:32
